Component,Origin,License
core,sigs.k8s.io/controller-runtime/pkg/client/apiutil,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/client/config,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/client/fake,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/controller,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/event,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/handler,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/internal/controller,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/internal/controller/metrics,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/internal/log,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/internal/objectutil,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/internal/recorder,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/leaderelection,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/log,Apache-2.0
core,sigs.k8s.io/controller-runtime/pkg/log/zap,Apache-2.0
